平台,平台ID,C门店ID,最新评分,有订单
美团,19582934,C12509,0.0,False
美团,19615058,C12119,4.4,True
美团,19649309,C12295,0.0,False
美团,1966397,C02542,0.0,False
美团,19674010,C12548,0.0,False
美团,19706766,C12575,4.1,True
美团,19717907,C11542,0.0,False
美团,19719666,C01081,4.3,True
美团,19723679,C11770,4.6,True
美团,19750467,C12581,4.5,True
美团,19760978,C12602,0.0,False
美团,19770840,C12479,4.3,True
美团,19794949,C02842,4.4,True
美团,19800414,C10627,4.4,True
美团,19834078,C12400,0.0,False
美团,19875831,C12589,4.5,True
美团,19875959,C10630,0.0,False
美团,19907843,C12613,4.4,True
美团,19952630,C12573,0.0,False
美团,20030487,C12658,0.0,False
美团,20046189,C12610,0.0,False
美团,20055304,C02279,4.6,True
美团,20059734,C12612,0.0,False
美团,20121747,C12729,4.5,False
美团,20195829,C12709,4.5,True
美团,20203584,C12595,4.5,True
美团,20205406,C00295,4.6,True
美团,20215694,C11642,4.7,True
美团,20216013,C12908,4.6,True
美团,202169,C00321,4.4,True
美团,20281704,C12915,0.0,False
美团,20306568,C02683,4.5,True
美团,20360959,C06926,0.0,True
美团,20369637,C11739,4.1,True
美团,20433220,C03936,4.2,False
美团,20465194,C12886,4.2,True
美团,20466964,C12970,4.1,True
美团,20516817,C13103,4.6,True
美团,20517715,C12617,0.0,False
美团,20517945,C12877,0.0,False
美团,20531515,C12656,4.3,True
美团,20543447,C13107,4.3,True
美团,20543514,C13019,0.0,False
美团,20549835,C12906,4.1,False
美团,20574320,C14820,4.3,True
美团,20583192,C12898,3.7,True
美团,20594550,C12949,4.3,True
美团,20599676,C13067,0.0,True
美团,20624789,C12655,4.8,True
美团,20832777,C02038,4.8,True
美团,20878676,C15018,4.3,True
美团,20880405,C01020,0.0,False
美团,20888544,C13148,0.0,False
美团,20901922,C03740,4.6,True
美团,21005705,C12862,0.0,True
美团,21028412,C11719,4.0,True
美团,21076531,C00901,4.0,True
美团,21080114,C10628,4.5,True
美团,21081977,C13131,4.2,False
