平台,C门店ID,平台ID,最新评分,均值评分,最新店铺分,记录数
美团,C11437,17607180,4.7,4.609999999999999,99.0,30
美团,C11441,13807541,3.9,4.02,76.0,25
美团,C11442,18454652,2.9,3.1766666666666667,95.0,30
美团,C11458,17651461,4.8,4.8,88.0,30
美团,C11472,17334483,4.7,4.6466666666666665,98.0,30
美团,C11498,13712478,4.5,4.413333333333333,97.0,30
美团,C11499,17543868,0.0,0.0,39.0,25
美团,C11542,19717907,0.0,0.0,29.0,25
美团,C11560,17926654,4.6,4.5633333333333335,99.0,30
美团,C11565,18275922,0.0,3.16,40.0,25
美团,C11581,17861855,4.7,4.623333333333333,99.0,30
美团,C11596,17979084,4.4,4.373333333333334,97.0,30
美团,C11603,17887351,4.4,4.326666666666667,0.0,30
美团,C11609,18142410,4.7,4.663333333333333,78.0,30
美团,C11640,17966530,4.5,4.3133333333333335,98.0,30
美团,C11642,20215694,4.7,4.58,98.0,30
美团,C11709,18263568,0.0,3.2633333333333336,65.0,30
美团,C11719,21028412,4.0,4.319999999999999,69.0,30
美团,C11723,29226867,4.6,3.523333333333333,89.0,30
美团,C11739,20369637,4.1,4.11,84.0,30
美团,C11742,18626004,4.2,4.473333333333333,77.0,30
美团,C11743,18444941,4.8,4.833333333333333,98.0,30
美团,C11745,18040143,4.5,4.319999999999999,98.0,30
美团,C11748,18302621,0.0,4.184,50.0,25
美团,C11756,18671212,0.0,0.0,59.0,30
美团,C11761,18454312,4.4,4.4,97.0,30
美团,C11762,18338465,4.7,4.7,98.0,30
美团,C11770,19723679,4.6,4.56,96.0,30
美团,C11771,18381545,4.6,4.513333333333334,88.0,30
美团,C11792,18301342,4.3,4.3533333333333335,97.0,30
美团,C11809,19265129,0.0,0.0,79.0,30
美团,C11810,18313221,4.6,4.3933333333333335,99.0,30
美团,C11819,22078543,4.6,1.5233333333333332,79.0,30
美团,C11840,18276211,4.4,4.404,35.0,25
美团,C11842,28568439,4.4,4.46,78.0,30
美团,C11850,18110397,0.0,0.0,50.0,25
美团,C11856,18625698,4.7,4.766666666666667,88.0,30
美团,C11869,5473916,4.6,4.6,96.0,27
美团,C11873,18480264,4.7,4.256666666666666,97.0,30
美团,C11878,19091599,4.4,4.489999999999999,97.0,30
美团,C11889,18287360,4.3,4.293333333333333,74.0,30
美团,C11896,27976920,4.2,4.316666666666666,98.0,30
美团,C11927,25594301,0.0,0.0,38.0,25
美团,C11932,18493189,4.0,4.029999999999999,96.0,30
美团,C11938,26026256,0.0,0.0,89.0,30
美团,C11945,9784131,4.7,4.626666666666667,72.0,30
美团,C12028,19455979,0.0,0.0,39.0,25
美团,C12029,18671121,4.4,4.263333333333334,77.0,30
美团,C12033,3048101,4.1,4.11,76.0,30
美团,C12039,18635463,4.8,4.783333333333333,99.0,30
美团,C12045,18935340,4.3,4.193333333333333,77.0,30
美团,C12057,21115648,4.4,4.37,98.0,30
美团,C12078,16760578,4.7,4.583333333333333,97.0,30
美团,C12079,25944571,4.6,4.673333333333333,98.0,30
美团,C12085,32999930,4.2,4.35,78.0,30
美团,C12086,18866059,4.5,4.673333333333333,98.0,30
美团,C12097,21634496,4.7,4.616666666666666,90.0,30
美团,C12119,19615058,4.4,4.433333333333334,68.0,30
美团,C12133,18902218,0.0,3.45,68.0,30
美团,C12210,19004357,4.6,4.6,98.0,30
美团,C12215,19100676,4.6,4.6,78.0,30
美团,C12240,10616307,4.8,4.786666666666666,97.0,30
美团,C12241,21490573,0.0,0.0,40.0,9
美团,C12251,19073914,0.0,0.0,66.0,30
美团,C12257,19393063,4.9,1.49,98.0,30
美团,C12279,25831169,4.6,4.483333333333333,86.0,30
美团,C12295,19649309,0.0,3.856666666666667,48.0,30
美团,C12302,19091197,4.5,4.59,0.0,30
美团,C12306,19127496,4.5,4.5,97.0,30
美团,C12377,19156598,0.0,1.452,36.0,25
美团,C12387,19313267,4.6,4.6,72.0,25
美团,C12396,19199032,4.6,4.593333333333334,77.0,30
美团,C12438,19520217,0.0,0.0,58.0,30
美团,C12441,19361685,0.0,0.0,39.0,25
美团,C12452,19429787,4.5,4.41,98.0,30
美团,C12479,19770840,4.3,4.516666666666667,96.0,30
美团,C12488,6776351,4.5,4.5,79.0,30
美团,C12505,21214877,4.7,4.61,78.0,30
美团,C12509,19582934,0.0,0.0,39.0,25
美团,C12548,19674010,0.0,0.0,48.0,25
美团,C12566,2500993,4.8,4.8,79.0,30
美团,C12573,19952630,0.0,0.0,38.0,30
美团,C12575,19706766,4.1,4.0,97.0,30
美团,C12578,25989788,0.0,3.592,40.0,25
美团,C12581,19750467,4.5,3.0133333333333336,79.0,30
美团,C12587,27372943,0.0,0.0,87.0,30
美团,C12589,19875831,4.5,4.42,99.0,30
美团,C12595,20203584,4.5,4.586666666666667,88.0,30
美团,C12610,20046189,0.0,2.24,68.0,25
美团,C12612,20059734,0.0,0.0,47.0,30
美团,C12613,19907843,4.4,4.3966666666666665,77.0,30
美团,C12617,20517715,0.0,0.0,35.0,25
美团,C12655,20624789,4.8,4.07,88.0,30
美团,C12656,20531515,4.3,2.7266666666666666,69.0,30
美团,C12658,20030487,0.0,1.3519999999999999,38.0,25
美团,C12685,6276372,4.3,4.1433333333333335,78.0,30
美团,C12696,3065456,4.6,4.6,97.0,30
美团,C12709,20195829,4.5,4.36,77.0,30
美团,C12729,20121747,4.5,4.524,72.0,25
美团,C12862,21005705,0.0,0.0,62.0,30
美团,C12875,4942833,0.0,0.0,29.0,25
美团,C12878,13202393,4.3,4.2299999999999995,95.0,30
美团,C12886,20465194,4.2,4.526666666666667,98.0,30
美团,C12888,21110410,0.0,0.0,43.0,30
美团,C12898,20583192,3.7,3.8966666666666665,75.0,30
美团,C12906,20549835,4.1,4.1866666666666665,62.0,30
美团,C12908,20216013,4.6,4.793333333333334,75.0,30
美团,C12927,8519091,4.0,3.9160000000000004,64.0,25
美团,C12935,23904650,4.5,4.3566666666666665,96.0,30
美团,C12949,20594550,4.3,4.036666666666666,72.0,30
美团,C12970,20466964,4.1,4.2299999999999995,98.0,30
美团,C13019,20543514,0.0,0.0,35.0,11
美团,C13067,20599676,0.0,0.0,88.0,30
美团,C13068,12850678,4.2,4.220000000000001,97.0,30
美团,C13069,27900251,4.4,4.446666666666667,78.0,30
美团,C13103,20516817,4.6,4.62,99.0,30
美团,C13107,20543447,4.3,4.46,88.0,30
美团,C13117,280339,4.7,4.643333333333333,95.0,30
美团,C13122,613547,4.7,4.58,98.0,30
美团,C13131,21081977,4.2,4.264,47.0,25
美团,C13141,14481871,0.0,0.0,39.0,25
美团,C13148,20888544,0.0,0.0,30.0,25
美团,C13175,21304252,4.8,4.85,99.0,30
美团,C13177,21183925,4.4,4.493333333333334,96.0,30
美团,C13179,21195454,4.6,4.573333333333333,98.0,30
美团,C13199,22074510,0.0,0.0,34.0,25
美团,C13207,21600439,4.4,4.75,98.0,30
美团,C13219,21238235,4.7,4.724,81.0,25
美团,C13220,21584478,4.6,4.593333333333333,78.0,30
美团,C13225,15462308,4.7,4.583333333333333,98.0,30
美团,C13241,21263855,4.7,3.7866666666666666,77.0,30
美团,C13247,21361986,4.7,4.683333333333334,98.0,30
美团,C13270,10939628,4.6,2.7199999999999998,78.0,10
美团,C13310,21349047,0.0,3.3766666666666665,79.0,30
美团,C13327,24085565,4.6,4.373333333333333,98.0,30
美团,C13333,21378916,0.0,1.025,34.0,16
美团,C13357,21446767,4.7,4.7,90.0,30
美团,C13362,22236010,4.6,4.6,96.0,30
美团,C13371,14309192,4.6,4.6,76.0,30
美团,C13392,22104809,4.3,4.416666666666667,95.0,30
美团,C13399,16212964,4.6,4.688,74.0,25
美团,C13401,23810867,4.6,4.623333333333333,78.0,30
美团,C13427,26851551,4.5,4.276666666666667,79.0,30
美团,C13437,22880086,4.9,4.8533333333333335,98.0,30
美团,C13439,21831704,4.7,4.583333333333333,98.0,30
美团,C13443,21801081,0.0,0.0,69.0,30
美团,C13447,27798145,4.5,4.493333333333334,99.0,30
美团,C13449,8996821,4.4,4.466666666666667,69.0,30
美团,C13509,24561596,4.5,4.573333333333333,97.0,30
美团,C13513,22232679,4.7,4.766666666666667,99.0,30
美团,C13516,24883231,4.7,4.596666666666667,79.0,30
美团,C13521,24027266,0.0,0.0,50.0,25
美团,C13522,8005378,4.5,4.583333333333333,95.0,30
美团,C13543,19509040,4.2,4.25,98.0,30
美团,C13559,23779789,0.0,0.0,39.0,25
美团,C13562,24218624,4.3,4.343333333333334,77.0,30
美团,C13582,24223240,4.5,4.5,77.0,30
美团,C13586,25371016,4.1,4.206666666666667,98.0,30
美团,C13595,23929405,4.2,4.36,58.0,30
美团,C13598,25150687,0.0,0.0,89.0,25
美团,C13618,24081836,4.2,4.29,97.0,30
美团,C13627,5592170,4.5,4.293333333333334,98.0,30
美团,C13632,17450172,4.2,4.38,87.0,30
美团,C13643,29564611,4.5,4.4366666666666665,76.0,30
美团,C13673,24396182,4.5,4.503333333333333,74.0,30
美团,C13678,24391368,4.5,4.263333333333334,87.0,30
美团,C13700,25987113,0.0,0.0,48.0,30
美团,C13716,24474151,4.4,4.276666666666667,97.0,30
美团,C13721,24560207,4.3,4.433333333333334,64.0,30
美团,C13745,24714860,4.1,4.203333333333333,96.0,30
美团,C13747,24938784,4.2,4.0,93.0,30
美团,C13757,24750712,4.4,4.488,69.0,25
美团,C13781,24807477,4.3,4.319999999999999,95.0,30
美团,C13786,25656898,4.3,4.206666666666667,97.0,30
美团,C13803,25023533,0.0,0.0,35.0,25
美团,C13821,1037542,0.0,0.0,46.0,30
美团,C13822,25321530,4.7,4.763333333333334,99.0,30
美团,C13823,28189647,4.5,4.446666666666667,69.0,30
美团,C13826,25028217,4.5,4.416666666666667,98.0,30
美团,C13829,25035611,0.0,0.0,37.0,25
美团,C13845,25373292,4.3,4.403333333333333,97.0,30
美团,C13865,25364213,4.4,4.546666666666667,97.0,30
美团,C13877,25023791,4.6,4.493333333333334,98.0,30
美团,C13882,25379857,4.3,4.3,68.0,25
美团,C13893,25183630,4.4,4.343333333333334,73.0,30
美团,C13901,25327655,0.0,0.0,50.0,25
美团,C13906,6501663,4.7,4.7,77.0,30
美团,C13912,25503984,4.7,4.613333333333333,97.0,30
美团,C13913,25577050,4.2,4.276666666666667,98.0,30
美团,C13936,7537002,0.0,1.3666666666666667,67.0,30
美团,C13939,9379351,4.7,4.7,95.0,30
美团,C13951,12792576,0.0,3.676,39.0,25
美团,C13968,29659719,4.4,4.236666666666667,78.0,30
美团,C13970,25576768,4.2,4.2,67.0,30
美团,C14003,25863223,0.0,3.066666666666667,64.0,30
美团,C14018,25985366,0.0,0.0,35.0,25
美团,C14033,26175695,4.3,4.363333333333333,98.0,30
美团,C14039,30908325,4.6,4.486666666666666,63.0,30
美团,C14046,26366126,4.4,4.233333333333333,77.0,30
美团,C14073,29102455,4.5,4.486666666666666,94.0,30
美团,C14075,813533,4.5,4.343333333333334,96.0,30
美团,C14113,26387735,0.0,0.0,43.0,25
美团,C14117,26226064,4.3,4.153333333333333,96.0,30
美团,C14189,26734776,4.3,4.483333333333333,67.0,30
美团,C14196,26370378,4.4,4.316666666666666,98.0,30
美团,C14221,32889589,0.0,0.0,65.0,30
美团,C14250,1244998,4.6,4.636666666666667,98.0,30
美团,C14264,27079714,4.8,4.783333333333333,90.0,30
美团,C14276,27976932,0.0,0.0,41.0,30
美团,C14297,27350232,4.5,4.34,97.0,30
美团,C14298,27218461,4.5,4.34,99.0,30
美团,C14299,27248731,0.0,0.0,62.0,30
美团,C14307,28361345,3.9,3.9866666666666664,77.0,30
美团,C14318,27711946,4.7,4.7,97.0,30
美团,C14321,27798143,0.0,2.8760000000000003,35.0,25
美团,C14345,28189645,4.5,4.596666666666667,98.0,30
美团,C14347,27798154,4.5,4.246666666666667,96.0,30
美团,C14349,28552152,4.7,4.703333333333333,99.0,30
美团,C14358,27798140,0.0,1.36,34.0,25
美团,C14368,28027015,4.7,4.7,99.0,30
美团,C14381,27900231,4.2,4.323333333333333,73.0,30
美团,C14390,28091976,4.4,4.283333333333333,98.0,30
美团,C14409,28189691,4.2,4.28,0.0,25
美团,C14436,28394211,0.0,0.0,37.0,25
美团,C14452,28249970,4.0,4.2733333333333325,96.0,30
美团,C14453,28742718,0.0,0.0,39.0,25
美团,C14464,28404724,0.0,0.0,40.0,25
美团,C14485,28404726,4.4,4.066666666666666,78.0,30
美团,C14489,28879897,4.8,4.883333333333334,99.0,30
美团,C14530,30563911,0.0,0.0,37.0,25
美团,C14538,14513418,0.0,0.6833333333333333,68.0,30
美团,C14546,28838943,0.0,0.0,40.0,25
美团,C14559,29163412,4.5,4.576666666666666,94.0,30
