门店ID,门店名称,分公司,战区,省区,办事处,门店状态,门店类型,加盟&直营,门店分类,美团id,饿了么id,京东秒送id,微盟小程序id,口碑id,美团团购id,抖音id,快手id,高德平台id,TCODE,是否能做线上
C00002,直属总社,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,3632202,506358037,14270465.0,6013965557849,147067,71045336,6601165487734786055,6724909397161789354,2026031211077000000115301301|xiniu_xgc_bgc,1,是
C00003,直属东湖,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,3632196,502522594,14270458.0,6014198126849,147237,29624,6601200937530820621,3003666597569664634,,1,是
C00005,直属洪都,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15765636,931871,14305195.0,6014197849849,147275,1922439087,7186939767345383428,3003194353276921306,2026031211077000000115353236|xiniu_xgc_bgc,1,是
C00006,直属高新,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,直营,街铺,13809789,506194544,14270466.0,6014199038849,147230,1700761384,7057412106370418719,6724909544071705705,2026031211077000000115273299|xiniu_xgc_bgc,1,是
C00007,直属二七路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15933854,161779863,14520831.0,6013968019849,147278,29492,6601143522043103240,6724909544063883164,2026031211077000000115368232|xiniu_xgc_bgc,1,是
C00008,直属新村,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,直营,街铺,16728225,2075812230,14262389.0,6014195476849,326819,1993720109,7207349423678949431,3003654670203000086,2026031211077000000115267300|xiniu_xgc_bgc,1,是
C00009,直属董家窑,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,8557118,336568420,14311014.0,6014197848849,147258,29636,6601187949331613703,6724909444846234322,,1,是
C00010,直属贤士路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15933128,507607150,14331983.0,6014197540849,147257,29626,6601152838716360707,6724909544062113732,2026031211077000000115376216|xiniu_xgc_bgc,1,是
C00011,直属广外,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15166005,1123078851,14745038.0,6013968713849,147243,159400160,6601141919818975246,3003810034396041337,,1,是
C00012,直属中山路,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,3632195,506642980,,6013966323849,147226,29637.0,,,,1,是
C00013,直属羊子巷,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,3632197,336709638,14262337.0,6013965556849,147223,29627,6981894212090333220,6724909414506018921,2026031211077000000115389185|xiniu_xgc_bgc,1,是
C00015,直属子固路,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,3632198,506652866,14488873.0,6014199402849,147242,169335140,6601139016936982532,6724909544064482501,,1,是
C00016,直属京山,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15166398,507103934,14305203.0,6014200312849,147277,29629,6601195720009582605,6724909502053381530,2026031211077000000115301286|xiniu_xgc_bgc,1,是
C00017,直属十字街,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,,,,,,,,,,1,是
C00018,直属公园路,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,501416187,501416187,,6014199714849,147248,29634.0,,,,1,是
C00019,直属广场东路,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,3632761,1108595908,14305200.0,6013965944849,147273,909971,6995050771775490078,3002768237256122734,,1,是
C00021,直属上海路,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,直营,街铺,3632755,2089556403,14311013.0,6014195475849,147231,29630,6601203767398369283,6724909346893235317,,1,是
C00022,直属莲塘,其他,南昌区域,江西省区,南昌直营办,正常营业,专卖店,直营,街铺,,,,6013866147849,,,,,2025112011077000000113647749|xiniu_xgc_bgc,1,是
C00023,直属新建２,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,直营,街铺,3632191,336591217,14311019.0,6014199613849,147262,29657,6601149283016132611,6724909263019632130,,1,是
C00025,直属新建３,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,直营,街铺,3632758,1116953177,14498156.0,6014195883849,325943,163414176,6625888729288411143,3003810034234857703,,1,是
C00026,直属沃尔玛八一店,江西公司,南昌一战区,江西二区,南昌三办,关店,渠道店,直营,商超,,,,,,,,,,1,是
C00027,直属沃尔玛三店西路,江西公司,南昌一战区,江西二区,南昌三办,关店,,连锁商超,,,,,,,,,,,1,否
C00028,直属天虹江大店,江西公司,南昌一战区,江西一区,南昌二办,关店,专柜店,直营,商超,,,,6015165245849,,,,,,1,是
C00031,直属三店西路,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,,,,,,,,,,1,是
C00032,直属开关厂,江西公司,南昌一战区,江西一区,南昌一办,关店,专卖店,直营,街铺,3632663,,,,147266,29659.0,,,,1,是
C00033,直属系马桩,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,22071092,1106084220,14270464.0,6013969220849,147224,29646,6601140278969501703,3002340989957875126,,1,是
C00035,直属天虹中山路店,江西公司,南昌一战区,江西二区,南昌三办,关店,专柜店,直营,商超,,,,6015165196849,,,,,,1,是
C00036,直属红谷滩,江西公司,南昌一战区,江西一区,南昌一办,关店,专卖店,直营,,,,,,,,,,,1,是
C00037,直属八村,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,,,,,,,29628,,,,1,是
C00038,直属老福山,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,3632203,163772037,,,171664,162197872.0,,,,1,是
C00039,直属红谷滩2,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,直营,街铺,3632759,931870,14701062.0,6014197449849,147271,41023387,6601138752146376708,6724909544066649194,2026031211077000000115291283|xiniu_xgc_bgc,1,是
C00041,直属钟鼓楼,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,,,,6014197440849,147225,2483066.0,,,,1,是
C00043,直属铁路二村,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,,,,,,,,,,1,是
C00046,直属新建总店,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,直营,街铺,4653671,162850842,14262390.0,6014199908849,147260,100393615,7059395919132756009,6724909544109770028,,1,是
C00047,直属小兰,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,cover_C00047_303660517,cover_C00047_303660517,,6014199030849,147219,29670.0,,,,1,是
C00048,直属新建牌头,江西公司,南昌一战区,江西一区,南昌一办,关店,专卖店,直营,,,,,,,,,,,1,是
C00049,直属胜利路,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,3800197,1105569090,,6014194873849,147239,29666,,,,1,是
C00050,直属天虹红谷店,江西公司,南昌一战区,江西一区,南昌一办,关店,专柜店,直营,商超,,,,,,,,,,1,是
C00056,直属阳明路2,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,931897,931897,,6013965487849,147241,29914,,,,1,是
C00058,直属北京西路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,8042314,506249986,14292469.0,6014195872849,147229,172415052,6601147440701638664,6724909347853086615,,1,是
C00063,直属吉安火车站,江西公司,赣州战区,江西一区,吉安办,关店,专卖店,直营,高势能,,,,,,,,,,1,是
C00067,直属苏圃路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15932300,506638011,14311017.0,6014199604849,147245,2483073,6601144385000179720,6724909427364789547,2026031211077000000115283254|xiniu_xgc_bgc,1,是
C00069,直属天虹联发广场超市,江西公司,南昌一战区,江西一区,南昌一办,关店,专柜店,直营,商超,,,,6015167432849,,,,,,1,是
C00072,直属孺子路店,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,,,,6013965749849,147281,163408837,,,,1,是
C00073,直属坛子口,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,3632185,,,,147222,50832158.0,,,,1,是
C00076,直属天虹京东店,江西公司,南昌一战区,江西一区,南昌二办,关店,专柜店,直营,商超,,,,6015166030849,,,,,,1,是
C00079,直属中山路2店,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,,,,,147227,5482808,,,,1,是
C00081,直属聚源市场店,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,直营,街铺,3632192,1123375989,14723360.0,6014197925849,312974,163597553,6846171224498817028,6724909544099099062,2026031211077000000115364206|xiniu_xgc_bgc,1,是
C00093,直属文教路2店,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,,,,,,,,,,1,是
C00095,直属永叔路菜场店,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,184947345,,,6013966429849,cover_C00095_326017,,,,,1,是
C00097,直属天虹象湖店,江西公司,南昌一战区,江西二区,南昌三办,关店,专柜店,直营,商超,,,,6015166116849,,,,,,1,是
C00109,直属红谷滩餐饮团购,江西公司,南昌一战区,江西一区,南昌一办,关店,渠道店,加盟,特殊渠道,,,,,,,,,,1,是
C00110,直属天虹奥体店,江西公司,南昌一战区,江西一区,南昌二办,关店,专柜店,直营,商超,,,,6015167060849,,,,,,1,是
C00115,直属青山湖万达2店,江西公司,南昌一战区,江西一区,南昌一办,关店,专柜店,直营,商超,,,,,,,,,,1,是
C00116,直属移动赣A325W3,江西公司,南昌一战区,江西二区,南昌三办,关店,,移动售卖,,,,,,,,,,,1,否
C00117,直属洪都2店,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,3632660,507108745,14932109.0,6014197636849,193548,794283118,7073328540053981191,3003668254039581429,2026030411077000000115149708|xiniu_xgc_bgc,1,是
C00123,直属永辉西湖万达店,江西公司,南昌一战区,江西二区,南昌三办,关店,专柜店,直营,综合体,,,,6015164688849,,,,,,1,是
C00125,直属青云明珠店,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15165966,161816936,14305197.0,6014194792849,211962,163408669,6601199310031833095,6724909367355027764,,1,是
C00126,直属抚生路店,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,13860762,301689519,14305199.0,6013966030849,326016,169503519,6601133982878795783,6724909544075559063,2026031211077000000115281272|xiniu_xgc_bgc,1,是
C00127,直属新建米罗2店,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,直营,街铺,3632757,1126046955,14723619.0,6014199730849,325944,1152012142,7068436207704737807,3002222414228268490,2026031211077000000115256281|xiniu_xgc_bgc,1,是
C00129,直属澄湖店,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,3632188,,,,218767,194590236.0,,,,1,是
C00130,直属永辉铜锣湾店,江西公司,南昌一战区,江西一区,南昌一办,关店,专柜店,直营,商超,,,,6015168043849,,,,,,1,是
C00133,京东,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015117777849,175114,165087398,6601135510964406280,3003949249426499467,,1,是
C00135,石泉,江西公司,南昌一战区,江西一区,南昌二办,关店,专卖店,加盟,街铺,,,,6015118650849,175115,1003693738,6601151369271330823,6724909370587208165,,1,是
C00136,龙王庙,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,2333855,1447384,,6015117878849,175103,1427377163,6601194714223872008,3002010502888787994,2026030711077000000115215948|xiniu_xgc_bgc,1,是
C00137,罗家集,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015119485849,187437,42170644,6601195851366795272,6724909544111547721,,1,是
C00138,南钢,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,25986771,524840119,,6015115095849,185138,1756780007,6601135638865512461,6724909544063269546,2025111911077000000113616777|xiniu_xgc_bgc,1,是
C00139,观田,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015164362849,187438,,6707872920313595918,3002498505190937068,,1,是
C00140,昌东,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015117690849,175111,1716460597,6824614325496350733,,,1,是
C00141,尤口,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015129801849,187439,180371017,,,,1,是
C00142,麻丘,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015116299849,191663,1142437481,6601196741943363592,3003872392890327513,,1,是
C00143,塘南,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015116869849,191664,724013131,7346117008057960488,3002995664719515827,2025111911077000000113710697|xiniu_xgc_bgc,1,是
C00145,九村,江西公司,南昌一战区,江西一区,南昌二办,关店,专卖店,加盟,街铺,,,,6015118652849,175112,,7080371178228942862,3003294361540436676,,1,是
C00146,莲塘1,江西公司,南昌一战区,江西二区,南昌四办,关店,专卖店,加盟,街铺,2333822,,,,,41332849,,3002046039023493540,,1,是
C00147,莲塘2,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,3710304,506178691,,6015115155849,175117,1791574603,7064510162748327943,3003654844701907330,2025112011077000000113647749|xiniu_xgc_bgc,1,是
C00148,莲西,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,1348179985,,6015119466849,175118,1681718261,6601138670487472132,3002006238477296166,2025112011077000000113734686|xiniu_xgc_bgc,1,是
C00149,向塘１,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,3709880,543099201,17662734.0,6015164690849,177435,177817659,6601151665997367309,3002718238728950253,,1,是
C00150,三江,江西公司,南昌一战区,江西二区,南昌四办,关店,专卖店,加盟,街铺,,,,,177436,180491064,,,,1,是
C00151,广福,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015130818849,177439,527479182,6601144024898209796,,,1,是
C00152,进贤１,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,21263224,157406756,17662738.0,6015167027849,198488,160258970,6601142182655035395,3002804147435774422,,1,是
C00153,进贤２,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015167216849,198514,746589352,6601148445317138445,6724909544131787084,2025112011077000000113714669|xiniu_xgc_bgc,1,是
C00155,温圳,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015145907849,198576,1477871478,6711575678774560782,6724909403503937949,,1,是
C00156,文港,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015116993849,198583,1876413749,6601137075007784967,6724909544072231261,,1,是
C00157,李渡１,江西公司,南昌二战区,江西二区,南昌四办,关店,专卖店,加盟,街铺,,,,6015119497849,191641,730432049,,,,1,是
C00158,江东,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,16189120,,16189120.0,6015119086849,175104,157292001,6601194515908790275,3002374595735884901,2026030711077000000115147893|xiniu_xgc_bgc,1,是
C00159,青云谱南苑一路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,,,,6015115597849,187451,4511271,6601196221056960520,,,1,是
C00160,楞上,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,500807293,500807293,,,177455,164360904,,,,1,是
C00161,桃花,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,,,,6015093870849,175101,1182677905,6601178835515869187,6724909544083203954,2026030711077000000115112831|xiniu_xgc_bgc,1,是
C00162,千禧,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,17965494,500732610,14264561.0,6015093065849,175091,90858357,6601178269481994244,3002748732519391581,,1,是
C00163,文教路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,,,,6015119948849,175156,113150055,6601182332151924744,6724909544106080255,2026030711077000000115221939|xiniu_xgc_bgc,1,是
C00165,北郊,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015338423849,175086,52218099,7017634422467856384,4003065618745961844,,1,是
C00166,新建路,江西公司,南昌一战区,江西一区,南昌一办,关店,专卖店,加盟,街铺,,,,,177462,60407761,,,,1,是
C00167,兴华路,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015146607849,177461,959052868,7069697131770021918,6724909544085357271,,1,是
C00168,石岗,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015118983849,191665,117020804,,,,1,是
C00170,团结路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,2339346,1447398,,6015165216849,175168,1221558804,6601140906676455431,6724909422746438997,2026030711077000000115238078|xiniu_xgc_bgc,1,是
C00171,火炬广场,江西公司,南昌一战区,江西一区,南昌二办,关店,专卖店,加盟,街铺,2341333,1447432,16256736.0,6015113768849,175108,1365294874,6601200082639390724,6724909484251498503,,1,是
C00172,财大,江西公司,南昌一战区,江西一区,南昌一办,关店,专卖店,加盟,街铺,,,,6015118858849,191632,72075260,6601143880098269198,3003336649140347328,,1,是
C00173,下罗,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,4117735,161647570,14261049.0,6015131813849,175129,168642915,6893629293545392128,6724909480232152282,,1,是
C00175,昌北,江西公司,南昌一战区,江西一区,南昌一办,关店,专卖店,加盟,街铺,7190041,172985255,,,175220,1638697522,,,,1,是
C00176,红角洲,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015116870849,175132,1701553239,6601192051688081411,3002804202449998564,,1,是
C00177,南昌紫云小区,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,27527503,310145960,15967961.0,6015119542849,175154,1141572054,7159595588063856671,6724909406345999323,2026030711077000000115211940|xiniu_xgc_bgc,1,是
C00179,王家庄,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,,,,6015119274849,175208,179272936.0,6601133432250566669,3002973289060081993,,1,是
C00180,上沙窝,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,,,,6015119052849,175166,152545955,6601150682684721165,6724909544127274889,,1,是
C00181,贤士花园,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,2340141,,,6015118742849,175167,85712244,6601193970527635464,6724909544079019554,,1,是
C00182,朝阳,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,2319521,1447378,,6015167023849,175092,157292003,6601150589751527427,3002804591042368081,,1,是
C00183,福田,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,14471513,506129570,,6015166117849,177456,189811359,6701560798981982221,3003872392942036261,,1,是
C00185,一村,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,,,,6015093869849,177448,41227351,6601190943926257677,3002774040534265094,,1,是
C00186,蛟桥,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015118261849,191633,1779480467,6601166290033838094,6724909425835963570,,1,是
C00187,农大,江西公司,南昌一战区,江西一区,南昌一办,关店,专卖店,加盟,街铺,,,,,191634,1300056903,,,,1,是
C00188,火车站,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,高势能,,,,,,,,,,1,是
C00189,朝农,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,3709883,161623473,,6015095658849,177474,164401093,6601198948445063175,3002771592235131605,2026030711077000000115090918|xiniu_xgc_bgc,1,是
C00190,桃苑,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,1999621,,,,187580,40953317,,,,1,是
C00191,洛阳路,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015118651849,175164,157360362,6601167930711345160,6724909544124824926,,1,是
C00192,东新,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,14162942,,,6015119876849,600219,805566328,6940378268516223011,3003708915081356571,,1,是
C00193,青杨,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015132205849,177478,1182876824,6601141492520060931,6724909310672756402,,1,是
C00195,成新２,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015118989849,191666,1982008762,,3003668472178122797,,1,是
C00196,成新３,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015120049849,191667,185692322,6601245970539743236,6724909544113115816,,1,是
C00197,恒湖,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015147918849,191651,,,,,1,是
C00198,象山,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015129926849,191652,957251475,,,,1,是
C00199,江桥,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015130217849,191653,101387759,6923678380151801864,6724909453341952771,,1,是
C00200,大塘,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,151823979,151823979,,6016964642849,191654,744263214,6872934065117366284,3002767681087054576,2026030711077000000115177927|xiniu_xgc_bgc,1,是
C00201,蒋巷,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015129800849,191668,1529925152,,3003782457851877823,,1,是
C00202,西山,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015120098849,187416,152545933,6945946128789538850,3003886950626009248,,1,是
C00203,生米,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015150011849,191669,152545170,6601155252626409479,6724909432797970209,,1,是
C00206,南昌县八一,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015118986849,177468,1317096939,7002794211795798046,6724909450497589137,2025111911077000000113739578|xiniu_xgc_bgc,1,是
C00207,幽兰,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015165223849,185132,679568545,6601193550023493646,6724909544100528733,2026030711077000000115191934|xiniu_xgc_bgc,1,是
C00208,南京东路,江西公司,南昌一战区,江西一区,南昌二办,关店,专卖店,加盟,街铺,,,,6015119275849,175209,102776410,6601140384972146701,6724909501652943834,,1,是
C00209,京东2,江西公司,南昌一战区,江西一区,南昌二办,关店,专卖店,加盟,街铺,,,,6015116071849,175113,86215534,6601167471078541316,,,1,是
C00210,铁河,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015168044849,191655,169022199,,3003872393021596145,,1,是
C00211,青山路口,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,加盟,街铺,17327988,1447400,17082657.0,6015118741849,175170,42174343,6601163129202149380,3002803743864627816,,1,是
C00212,溪霞,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015119590849,187435,152545196,6601192606124738567,4003076173393699412,,1,是
C00215,昌南,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,街铺,,,,6015165197849,177441,40096565,6601145184862341133,2161745520411343178,,1,是
C00216,定岗,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,2319518,144554515,,6015118545849,185139,157292002,6601137711921235981,3003708360635719868,,1,是
C00217,李渡２,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015113795849,177437,1475911940,6633870721170802691,3003322211243364919,,1,是
C00218,进贤3,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015118691849,198515,805190688,6601149084415821828,3002769317068973303,,1,是
C00219,江纺2,江西公司,南昌一战区,江西一区,南昌二办,关店,专卖店,加盟,,,,,,177479,162197733,,,,1,是
C00220,新建松湖,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015150810849,191670,1557707059,6684498481836460035,6724909544064269128,,1,是
C00221,富山,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015416411849,191642,42042114,6601198317017761799,6724909543919557304,,1,是
C00222,凤凰花园,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,2319444,152823992,,6015118857849,175110,1678404453,6601172929361217550,3002804202455208497,,1,是
C00223,长山,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015129817849,191643,715563634,6647437138893817860,3002975414671742222,,1,是
C00225,下埠,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015167028849,191671,162201046,6601266582255568899,,,1,是
C00226,五村,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015118243849,175093,1698624561,6601193627718780931,3003872392694080043,,1,是
C00227,万科,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,2319441,1447427,14331987.0,6015118762849,175109,103047324,6601170426695518212,6724909375263544113,2026030711077000000115137951|xiniu_xgc_bgc,1,是
C00228,武阳,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015167217849,187448,1683454573,6633881692593457159,4003112891816386993,,1,是
C00229,石埠,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015115762849,191672,1338115341,6601160151963551757,,2026030411077000000115145733|xiniu_xgc_bgc,1,是
C00230,南昌湾里井冈山农贸市场店,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,5428911,144909683,16638098.0,6015119771849,177464,962322270,6601192102342690823,3002804202463601273,,1,是
C00231,袁渡,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015167605849,187445,1747165525,6862509953291143182,3001863022930530777,,1,是
C00232,阳光乳业,江西公司,南昌一战区,江西二区,南昌四办,关店,专卖店,加盟,街铺,3710202,,,6015118988849,195150,51949118,6601183628539987981,,,1,是
C00233,高桥,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015164691849,198579,,6601220595847792644,3003872392535545903,,1,是
C00235,罗溪,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015132211849,198577,1284544496,7271444360372160527,,,1,是
C00236,恒达花园,江西公司,南昌一战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,2319442,507174500,,6015119470849,175120,4049594,6601195741006268419,6724909429464924546,,1,是
C00237,七二零厂,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,,,,6015337576849,177466,1411447947,6601150104512497671,3003674451266245028,,1,是
C00238,向塘３,江西公司,南昌二战区,江西二区,南昌四办,正常营业,专卖店,加盟,街铺,,,,6015131821849,187443,1155415184,6601194838677260291,3002062016078488140,,1,是
C00239,蒋巷2,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015132201849,191673,835889032,7163832955083687966,,,1,是
C00240,滁槎,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,,,,6015132202849,187575,690648592,6709735044430202883,6724909544101861918,,1,是
C00241,长麦路,江西公司,南昌一战区,江西一区,南昌一办,正常营业,专卖店,加盟,街铺,4389516,161779861,17279856.0,6015131007849,177475,40747178,6601149425790224388,3003711401952977534,,1,是
C00242,梧岗,江西公司,南昌一战区,江西一区,南昌二办,关店,专卖店,加盟,街铺,,,,,187574,105057007,,,,1,是
