门店ID,门店名称,分公司,战区,省区,办事处,门店状态,门店类型,加盟&直营,门店分类,美团id,饿了么id,京东秒送id,微盟小程序id,口碑id,美团团购id,抖音id,快手id,高德平台id,TCODE,是否能做线上
C05979,河南新郑万佳时代广场店,陕西公司,郑州战区,河南省区,豫南办,关店,专卖店,加盟,街铺,,,,,,,,,,1,是
C05981,直属福州东街口专卖店,江西公司,福州战区,福建省区,福州办,关店,专卖店,直营,街铺,,,,,,,,,,1,是
C05982,厦门思明火车站专卖店,江西公司,厦门战区,福建省区,闽南办,关店,专卖店,加盟,高势能,,,,,,,,,,1,是
C05986,营口熊岳正大广场店,陕西公司,沈阳战区,辽吉省区,大连办,关店,专卖店,加盟,综合体,,,,,,,,,,1,是
C05987,贵阳凯里合力超市店,重庆公司,贵阳战区,云贵省区,贵阳办,关店,专卖店,加盟,商超,7829303,301132572,,6014910197849,317091,1103482174,6889192061308913664,6724909332969412508,,1,是
C05988,贵阳大剧院南悦里店,重庆公司,贵阳战区,云贵省区,贵阳办,关店,专卖店,加盟,街铺,9854261,501150257,,6015016921849,600401,1573719906,7304093705953085478,3002567283291034962,,1,是
C05989,山东聊城东昌府金鼎店,浙江公司,青岛战区,山东省区,济南办,关店,专卖店,加盟,商超,8458034,2032043884,,6015068916849,316093,842886982,6744769379143026700,3002655275531343136,,1,是
C05990,海口海垦路专卖店,广东公司,海口战区,海南办,海南办,关店,专卖店,加盟,街铺,7669177,336757352,,6014908062849,315048,1384153702,6745384026086934539,,,1,是
C05991,海口阳光城旺豪专卖店,广东公司,海口战区,海南办,海南办,关店,专卖店,加盟,商超,8039074,304955767,,6014893059849,315049,528961696,,,,1,是
C05992,青岛黄岛新城吾悦广场,浙江公司,青岛战区,山东省区,青岛办,关店,专卖店,加盟,综合体,7805906,2001361205,,,316091,909828273,,,,1,是
C05993,直属西安火车站店,陕西公司,西安战区,陕西省区,西安办,关店,专卖店,直营,高势能,,,,,,,,,,1,是
C05995,广州天河棠东牌坊专卖店,广东公司,广州战区,广东省区,广佛办,关店,专柜店,加盟,街铺,7669173,163220133,,6014225946849,318265,1408933969,6768862003239880712,6724909444377065103,,1,是
C05996,湖北阳新家联购物广场店,江西公司,九江战区,湖北办,湖北办,关店,专卖店,加盟,综合体,7828785,,,,328868,1049838153,,,,1,是
C05997,上饶三清山服务区南区,江西公司,抚州战区,江西二区,上饶办,正常营业,专卖店,加盟,交通枢纽,,,,,,,,,,1,是
C05998,上饶三清山服务区北区,江西公司,抚州战区,江西二区,上饶办,正常营业,专卖店,加盟,交通枢纽,,,,,,,,,,1,是
C06000,青岛黄岛中泽国货店,浙江公司,青岛战区,山东省区,青岛办,关店,专卖店,加盟,商超,7805909,2001295744,,,314838,952011682,,,,1,是
C06002,河南郑州东明路丹尼斯店,陕西公司,郑州战区,河南省区,郑州办,关店,专卖店,加盟,商超,9315800,cover_C06002_2043166932,,6013997731849,332898,934599344,6863038755956082695,,,1,是
C06003,上饶茶亭农产品交易城,江西公司,抚州战区,江西二区,上饶办,关店,专卖店,加盟,街铺,,,,6015339139849,317901,,,,,1,是
C06005,西安高陵好又多店,陕西公司,西安战区,陕西省区,西安办,关店,专柜店,加盟,商超,9044942,,,,,,,,,1,是
C06006,直属独椒戏万达金街店,其他,南昌区域,独椒戏,独椒戏(南昌),正常营业,专卖店,直营,综合体,,,,,,,,,,1,否
C06007,广州白云东平北路专卖店,广东公司,广州战区,广东省区,广佛办,关店,专柜店,加盟,街铺,,,,,,1342472349,,,,1,是
C06008,青岛黄岛融创茂购物广场,浙江公司,青岛战区,山东省区,青岛办,正常营业,专卖店,加盟,综合体,7805907,300537822,16384008.0,6015070606849,318006,541236461,6909209080078796815,3002046433766379908,2026031311077000000115298408|xiniu_xgc_bgc,1,是
